user_name,anime_id,title,url,score
mattslist,35120,Devilman: Crybaby,https://myanimelist.net/anime/35120/Devilman__Crybaby,4
mattslist,37982,Domestic Girlfriend,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,4
mattslist,37520,Dororo,https://myanimelist.net/anime/37520/Dororo,5
mattslist,38691,Dr. Stone,https://myanimelist.net/anime/38691/Dr_Stone,9
mattslist,48549,Dr. Stone: New World,https://myanimelist.net/anime/48549/Dr_Stone__New_World,7
mattslist,55644,Dr. Stone: New World Part 2,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,8
mattslist,50612,Dr. Stone: Ryusui,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui,8
mattslist,40852,Dr. Stone: Stone Wars,https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars,7
mattslist,30694,Dragon Ball Super,https://myanimelist.net/anime/30694/Dragon_Ball_Super,6
mattslist,6746,Durarara!!,https://myanimelist.net/anime/6746/Durarara,5
mattslist,31043,Erased,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,7
mattslist,32901,Eromanga Sensei,https://myanimelist.net/anime/32901/Eromanga-sensei,5
mattslist,34580,Fastest Finger First,https://myanimelist.net/anime/34580/Nana_Maru_San_Batsu,3
mattslist,22297,Fate/stay night [Unlimited Blade Works],https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works,7
mattslist,28701,Fate/stay night [Unlimited Blade Works] Season 2,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,7
mattslist,38671,Fire Force,https://myanimelist.net/anime/38671/Enen_no_Shouboutai,8
mattslist,40956,Fire Force Season 2,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,8
mattslist,28171,Food Wars! Shokugeki no Soma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,7
mattslist,40902,Food Wars! The Fifth Plate,https://myanimelist.net/anime/40902/Shokugeki_no_Souma__Gou_no_Sara,7
mattslist,39940,Food Wars! The Fourth Plate,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara,7
mattslist,32282,Food Wars! The Second Plate,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara,7
mattslist,35788,Food Wars! The Third Plate,https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara,7
mattslist,36949,Food Wars! The Third Plate: Totsuki Train Arc,https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,7
mattslist,52991,Frieren: Beyond Journey's End,https://myanimelist.net/anime/52991/Sousou_no_Frieren,10
mattslist,38680,Fruits Basket 1st Season,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season,10
mattslist,40417,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,10
mattslist,42938,Fruits Basket: The Final Season,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,10
mattslist,71,Full Metal Panic!,https://myanimelist.net/anime/71/Full_Metal_Panic,7
mattslist,31931,Full Metal Panic! Invisible Victory,https://myanimelist.net/anime/31931/Full_Metal_Panic_Invisible_Victory,7
mattslist,73,Full Metal Panic! The Second Raid,https://myanimelist.net/anime/73/Full_Metal_Panic_The_Second_Raid,7
mattslist,72,Full Metal Panic? Fumoffu,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu,5
